IDREGION,FYEAR,SM_WHC,maxWLIM_YBp2,maxTWCp2,maxWLAIp2,maxWLIM_YBp4,maxWLIM_YSp4,maxTWCp4,maxWLAIp4,avgRSMp2,avgRSMp4,avgTAVGp0,avgPRECp0,avgCWBp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgPRECp3,avgCWBp4,avgPRECp5,avgFAPARp2,avgFAPARp4,YIELD
NL11,1999,0.22,3612.04,5.19,5.14,15789.23,10792.09,25.32,6.25,72.76,36.36,6.91,1.67,0.37,12.9,1.14,13.79,-1.32,1.49,-1.2,1.31,0.59,0.68,41.0
NL11,2000,0.22,3105.85,4.38,4.74,18877.41,13981.09,27.75,6.06,75.35,51.24,7.12,1.74,0.52,14.46,1.41,13.81,-1.26,2.21,-0.53,2.56,0.65,0.69,41.6
NL11,2001,0.22,2837.69,3.94,4.11,18919.23,13605.38,30.69,6.34,83.64,76.02,5.9,1.86,0.49,12.49,1.2,12.89,-1.24,2.25,0.38,5.62,0.63,0.69,40.7
NL11,2002,0.22,3620.11,5.53,4.92,16722.3,12437.51,27.11,5.37,67.42,49.51,8.1,2.19,0.67,13.28,1.29,14.93,-1.59,2.4,-0.73,1.06,0.66,0.66,40.5
NL11,2003,0.22,2368.56,3.58,3.57,11395.6,7192.2,20.21,5.45,90.24,31.98,5.77,1.2,-0.29,12.33,3.26,12.93,0.04,3.13,-1.93,2.02,0.64,0.65,38.0
NL11,2004,0.22,2140.32,3.35,2.73,18228.44,13702.74,29.49,5.27,74.98,64.46,6.48,1.98,0.56,12.29,0.65,12.08,-2.1,0.58,-0.55,2.31,0.64,0.68,41.4
NL11,2005,0.22,1384.59,2.52,2.07,16144.29,11746.02,27.73,6.13,93.05,54.37,5.68,1.77,0.44,10.14,2.3,12.17,-0.83,1.86,-1.12,1.47,0.62,0.71,40.1
NL11,2006,0.22,2064.08,2.9,3.12,10667.58,6303.55,21.34,5.95,89.99,52.3,4.71,1.31,-0.02,12.98,1.44,13.45,-1.16,2.1,-1.07,2.33,0.63,0.69,37.8
NL11,2007,0.22,2357.51,3.49,3.63,18809.16,14690.94,29.73,5.52,106.04,81.39,8.18,2.18,0.51,12.93,2.33,13.08,0.0,2.09,-0.05,1.95,0.68,0.67,39.0
NL11,2008,0.22,1955.09,3.5,2.99,14685.65,11293.66,25.93,4.43,58.83,50.65,7.01,2.18,0.69,12.97,0.56,14.12,-3.32,0.67,-0.93,1.34,0.63,0.68,42.3
NL11,2009,0.22,2192.83,3.56,3.17,16951.7,11606.88,28.64,6.42,85.52,49.44,6.39,1.36,0.07,11.79,1.87,12.74,-0.76,3.02,-1.24,1.45,0.67,0.68,42.8
NL11,2010,0.22,2063.8,3.31,2.92,13932.27,9923.33,25.14,5.49,73.3,52.7,4.91,1.68,0.25,9.89,1.99,12.14,-1.37,1.2,-0.49,2.96,0.66,0.69,40.0
NL11,2011,0.22,4871.16,7.86,5.72,18583.64,14016.8,29.83,5.72,65.4,69.39,7.26,0.71,-1.11,13.29,1.23,14.05,-1.41,2.44,0.43,3.24,0.73,0.69,42.3
NL12,1999,0.16,3387.84,4.64,4.94,15168.17,9961.35,22.74,6.37,71.68,33.57,6.92,1.7,0.47,12.64,1.02,13.45,-1.0,1.87,-1.13,1.12,0.5,0.67,38.0
NL12,2000,0.16,2919.1,3.98,4.5,15163.11,10299.99,22.43,5.98,88.75,37.2,7.16,1.59,0.45,14.16,1.61,13.45,-0.13,2.75,-0.88,2.64,0.54,0.66,36.9
NL12,2001,0.16,2635.48,3.58,3.79,16121.6,11120.84,25.82,6.19,78.43,64.23,5.91,1.96,0.64,12.09,1.39,12.73,-1.04,1.59,0.27,5.8,0.5,0.66,36.8
NL12,2002,0.16,3576.0,5.59,4.92,17678.94,13278.7,27.57,5.49,65.65,53.24,8.03,2.31,0.78,13.06,1.35,14.74,-1.58,2.28,-0.62,1.14,0.57,0.64,35.0
NL12,2003,0.16,2283.55,3.37,3.41,10091.6,6080.28,17.32,5.38,87.03,22.87,5.99,1.1,-0.35,12.12,3.1,12.85,-0.06,2.61,-2.25,1.14,0.57,0.63,37.1
NL12,2004,0.16,2082.7,3.22,2.75,18745.04,14097.89,28.44,5.51,77.56,64.48,6.6,2.03,0.7,12.25,0.9,12.01,-1.84,0.71,0.04,3.45,0.56,0.67,35.9
NL12,2005,0.16,3047.68,4.74,4.52,16355.18,11990.17,26.48,6.06,78.31,39.81,6.32,1.74,0.26,12.05,1.58,12.6,-1.3,1.59,-0.92,1.76,0.55,0.66,33.8
NL12,2006,0.16,4283.11,6.2,5.83,10750.62,6358.2,20.8,5.83,81.9,46.94,5.9,1.37,-0.18,13.44,1.97,12.38,-1.11,1.28,-1.21,0.32,0.61,0.66,35.5
NL12,2007,0.16,2239.07,3.36,3.4,19542.02,15359.52,30.12,5.43,116.27,70.62,8.36,2.08,0.45,12.83,2.3,13.01,0.3,2.0,-0.15,1.6,0.57,0.64,34.6
NL12,2008,0.16,2014.67,3.47,3.02,13943.9,10688.34,23.63,4.38,51.98,57.41,7.1,2.12,0.62,13.28,0.48,14.13,-3.34,0.61,-0.57,1.94,0.54,0.65,36.8
NL12,2009,0.16,2097.62,3.46,3.04,13809.78,8618.12,23.78,6.49,82.97,36.08,6.38,1.42,0.15,11.73,2.29,12.69,-0.48,3.05,-1.65,1.47,0.61,0.66,37.4
NL12,2010,0.16,1868.0,2.91,2.65,14315.35,10245.85,24.85,5.76,74.87,59.15,5.06,1.62,0.22,9.73,1.95,11.97,-1.29,1.32,-0.18,2.76,0.62,0.67,38.4
NL12,2011,0.16,5048.43,7.93,5.75,18551.45,14075.53,29.54,5.75,48.93,69.25,7.48,0.6,-1.14,13.47,0.99,14.02,-1.68,2.53,0.91,3.74,0.71,0.66,36.1
NL13,1999,0.27,1771.14,2.86,2.76,16195.92,11464.5,26.46,5.97,85.12,46.89,6.56,1.74,0.59,12.23,1.39,13.47,-1.6,1.94,-1.5,1.13,0.47,0.74,43.0
NL13,2000,0.27,3481.57,4.83,5.15,19325.14,14651.36,28.34,5.88,79.05,59.77,7.45,1.85,0.61,15.24,1.4,14.39,-1.13,2.35,-0.48,2.58,0.58,0.75,43.5
NL13,2001,0.27,1392.79,2.18,2.0,18021.49,12867.66,29.81,6.5,89.15,68.6,4.99,1.83,0.68,11.69,1.52,13.33,-2.12,1.82,-0.4,3.75,0.46,0.73,41.7
NL13,2002,0.27,1940.57,2.88,3.11,16698.86,12625.47,26.82,5.16,74.37,52.01,7.48,2.47,1.11,12.15,2.2,13.65,-1.54,1.49,-0.79,1.94,0.52,0.73,41.5
NL13,2003,0.27,849.92,1.2,1.04,12620.34,8515.45,22.29,5.47,102.53,41.31,4.75,1.33,0.02,12.35,1.76,12.62,0.59,2.97,-1.92,2.14,0.5,0.69,37.3
NL13,2004,0.27,2145.4,3.37,2.78,17886.26,13421.82,29.33,5.18,77.75,69.47,6.53,2.14,0.7,12.61,0.99,12.2,-1.67,0.7,-0.48,2.07,0.56,0.74,44.2
NL13,2005,0.27,1468.15,2.79,2.27,16712.28,12431.27,28.49,6.04,96.98,63.63,5.82,1.95,0.63,10.34,2.51,12.35,-0.76,1.82,-1.05,1.57,0.53,0.76,44.1
NL13,2006,0.27,2099.57,2.99,3.36,11407.73,7090.42,22.99,6.0,91.71,47.06,4.92,1.37,0.0,13.47,1.4,13.74,-1.03,2.32,-1.11,2.82,0.53,0.73,37.2
NL13,2007,0.27,897.42,1.38,1.2,18524.14,14575.01,28.95,5.5,111.93,80.77,7.95,2.27,0.77,13.42,1.33,13.46,-0.88,3.09,-0.1,1.95,0.52,0.74,41.6
NL13,2008,0.27,619.36,1.14,0.86,15031.58,11674.74,26.15,4.2,79.86,51.23,6.18,2.34,1.11,11.0,0.66,13.3,-2.85,0.63,-1.31,1.82,0.44,0.74,43.6
NL13,2009,0.27,2538.52,4.31,3.77,17705.84,12610.12,30.18,6.1,83.19,52.82,6.63,1.37,0.01,12.21,1.81,13.17,-1.16,2.82,-1.27,1.24,0.57,0.74,44.6
NL13,2010,0.27,2180.76,3.65,3.11,14300.79,10508.26,25.75,4.99,72.76,55.91,5.19,1.73,0.25,10.05,2.02,12.55,-1.48,1.05,-0.37,2.6,0.55,0.75,39.4
